sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
773,Zestaw krzesła krzesło tapicerowane do jadalni i salonu 4 sztuki czarne ModernHo,MultiStore,5903089064862,250.0,250.0,250.0,100%,100%,LOSS,87
774,Ławka ławeczka do ćwiczeń pod sztangę modlitewnik ModernHome,MultiStore,5903089063407,360.0,360.0,360.0,100%,100%,LOSS,0
827,Leżanka leżak ogrodowy z daszkiem huśtawka MultiGarden,MultiStore,5903089063889,469.0,469.0,469.0,100%,100%,LOSS,0
833,HUŚTAWKA OGRODOWA ROZKŁADANA 3-OSOBOWA BEŻOWA GARDENSTEIN FALKEN 160 X 110,Kathay,5903089065562,739.0,739.0,739.0,100%,100%,LOSS,109
840,SUSZARKA OGRODOWA OBROTOWA ALUMINIOWA 60 M GARDENSTEIN JERN Z POKROWCEM,Kathay,5903089065227,129.0,129.0,129.0,100%,100%,LOSS,1574
845,STÓŁ NARZĘDZIOWY DREWNIANY ZESTAW KONSTRUKCYJNY 52 ELEMENTY HOPLA TOYS,MultiStore,5905817004300,55.0,55.0,55.0,100%,100%,LOSS,140
850,"ROWEREK BIEGOWY DLA DZIECI BEZPIECZNA KONSTRUKCJA KOŁA EVA ""FLAM HOPLA TOYS",MultiStore,5903089065265,99.0,99.0,99.0,100%,100%,LOSS,0
851,Leżanka huśtawka ogrodowa hamak fotel wiszący kosz beżowa MultiGarden,MultiStore,5903089063872,529.0,529.0,529.0,100%,100%,LOSS,0
891,"Warsztat narzędzia dla dzieci stół narzędziowy ""Superior""",MultiStore,5903089065531,65.0,65.0,65.0,100%,100%,LOSS,33
906,Pokrywa plandeka osłona basenu 366 cm INTEX 28031,MultiStore,6941057420318,33.0,33.0,33.0,100%,100%,LOSS,0
910,DOMEK DLA LALEK + MEBELKI WYSOKA REZYDENCJA JAGODOWA HOPLA TOYS,MultiStore,5903089065289,160.0,160.0,160.0,100%,100%,LOSS,0
911,NAMIOT DLA DZIECI DOMEK SUCHY BASEN DINO HOPLA TOYS,MultiStore,6958868881634,30.0,30.0,30.0,100%,100%,LOSS,208
913,NAMIOT DLA DZIECI DOMEK DO ZABAWY SUCHY BASEN FARMA HOPLA TOYS,MultiStore,6958868881733,49.0,49.0,49.0,100%,100%,LOSS,0
914,NAMIOT DLA DZIECI DO ZABAWY RÓŻOWY NAMIOCIK DOMEK HOPLA TOYS,MultiStore,6958868887261,35.0,35.0,35.0,100%,100%,LOSS,244
922,ROWEREK BIEGOWY TRENINGOWY MINI ROWER DLA DZIECI RÓŻOWY HOPLA TOYS,MultiStore,5903089066460,65.0,65.0,65.0,100%,100%,LOSS,20
923,ROWEREK BIEGOWY TRENINGOWY MINI ROWER DLA DZIECI BIAŁY HOPLA TOYS,MultiStore,5903089065456,49.0,49.0,49.0,100%,100%,LOSS,0
948,Fotel bujany regulowany podnóżek biała rama ModernHome,MultiStore,5903769979493,270.0,270.0,270.0,100%,100%,LOSS,36
956,Wieszak na ubrania + szafka regał półka na buty ModernHome,MultiStore,5903089065821,119.0,119.0,119.0,100%,100%,LOSS,0
969,DREWNIANA KUCHNIA Z AKCESORIAMI DLA DZIECI PREMIUM EDUKACYJNA HOPLA TOYS,MultiStore,5903089065586,230.0,230.0,230.0,100%,100%,LOSS,28
975,DREWNIANE JEDZENIE DO KROJENIA 23 SZTUKI BEZPIECZNA HOPLA TOYS,MultiStore,5903089065593,59.0,59.0,59.0,100%,100%,LOSS,137
